iter	Passed	Remaining
0	3	3517
1	5	2862
2	8	2707
3	10	2638
4	12	2572
5	15	2513
6	17	2477
7	19	2410
8	21	2359
9	23	2338
10	25	2308
11	27	2269
12	29	2250
13	31	2229
14	33	2217
15	36	2214
16	37	2197
17	40	2185
18	42	2169
19	44	2164
20	46	2169
21	48	2169
22	51	2171
23	53	2163
24	55	2171
25	57	2167
26	60	2165
27	62	2157
28	64	2157
29	66	2155
30	68	2148
31	71	2157
32	73	2161
33	75	2150
34	78	2152
35	80	2150
36	82	2143
37	84	2136
38	86	2135
39	88	2134
40	91	2129
41	93	2128
42	96	2139
43	99	2159
44	102	2170
45	104	2165
46	106	2157
47	108	2149
48	110	2140
49	112	2134
50	114	2128
51	116	2126
52	118	2124
53	120	2117
54	122	2109
55	125	2107
56	127	2101
57	129	2096
58	131	2092
59	133	2085
60	135	2081
61	137	2077
62	139	2072
63	141	2067
64	143	2064
65	145	2061
66	147	2058
67	149	2053
68	151	2047
69	153	2040
70	155	2038
71	157	2034
72	159	2028
73	161	2024
74	163	2021
75	165	2016
76	167	2012
77	169	2007
78	171	2003
79	174	2001
80	176	2000
81	178	1999
82	180	1995
83	182	1992
84	184	1989
85	187	1992
86	189	1990
87	191	1986
88	193	1983
89	195	1980
90	197	1975
91	199	1970
92	202	1973
93	204	1971
94	206	1967
95	208	1965
96	210	1963
97	212	1959
98	214	1956
99	217	1954
100	219	1952
101	221	1950
102	223	1946
103	225	1944
104	227	1940
105	229	1938
106	232	1936
107	233	1932
108	235	1928
109	237	1924
110	239	1921
111	241	1918
112	243	1914
113	245	1909
114	247	1907
115	249	1904
116	251	1901
117	253	1897
118	255	1892
119	257	1890
120	259	1886
121	261	1882
122	263	1879
123	265	1877
124	267	1873
125	269	1869
126	271	1866
127	273	1865
128	275	1862
129	277	1858
130	279	1855
131	281	1852
132	283	1848
133	285	1844
134	287	1842
135	289	1839
136	291	1834
137	292	1829
138	294	1826
139	296	1823
140	298	1818
141	300	1813
142	301	1809
143	303	1805
144	305	1801
145	307	1797
146	309	1793
147	310	1789
148	312	1784
149	314	1781
150	316	1778
151	318	1776
152	320	1773
153	322	1772
154	324	1770
155	326	1767
156	328	1764
157	330	1760
158	331	1755
159	333	1753
160	335	1749
161	337	1745
162	339	1741
163	341	1739
164	342	1735
165	344	1732
166	346	1728
167	348	1726
168	350	1723
169	352	1719
170	353	1715
171	355	1711
172	357	1709
173	359	1705
174	361	1702
175	362	1698
176	364	1696
177	366	1692
178	368	1690
179	370	1686
180	372	1683
181	374	1682
182	376	1680
183	378	1676
184	379	1673
185	381	1671
186	383	1667
187	385	1664
188	387	1661
189	389	1658
190	391	1656
191	393	1654
192	394	1651
193	396	1648
194	398	1646
195	400	1644
196	402	1641
197	404	1638
198	406	1636
199	408	1632
200	410	1629
201	412	1627
202	413	1624
203	415	1620
204	417	1617
205	419	1615
206	421	1613
207	422	1610
208	424	1607
209	426	1604
210	428	1601
211	430	1598
212	431	1595
213	433	1592
214	435	1590
215	437	1587
216	439	1584
217	441	1582
218	443	1580
219	445	1578
220	447	1575
221	449	1574
222	451	1572
223	453	1569
224	454	1566
225	456	1564
226	458	1561
227	460	1559
228	462	1556
229	464	1554
230	466	1552
231	468	1549
232	469	1546
233	471	1543
234	473	1542
235	476	1542
236	478	1539
237	480	1537
238	482	1535
239	483	1532
240	485	1529
241	487	1527
242	489	1525
243	491	1523
244	493	1520
245	495	1519
246	497	1517
247	499	1515
248	501	1513
249	503	1511
250	505	1509
251	508	1508
252	510	1505
253	512	1504
254	514	1501
255	515	1498
256	517	1495
257	519	1493
258	521	1491
259	522	1488
260	524	1485
261	526	1482
262	528	1480
263	530	1477
264	531	1475
265	533	1473
266	535	1471
267	537	1468
268	539	1466
269	541	1463
270	543	1462
271	545	1460
272	547	1457
273	549	1455
274	551	1453
275	553	1451
276	555	1448
277	557	1446
278	559	1445
279	560	1442
280	563	1441
281	565	1440
282	567	1437
283	569	1435
284	570	1432
285	572	1430
286	574	1427
287	576	1425
288	578	1422
289	580	1420
290	582	1419
291	584	1417
292	586	1415
293	588	1413
294	590	1411
295	592	1409
296	594	1406
297	596	1404
298	598	1402
299	600	1400
300	601	1397
301	604	1397
302	606	1395
303	608	1392
304	610	1390
305	612	1388
306	613	1385
307	615	1383
308	617	1380
309	619	1378
310	621	1376
311	623	1374
312	624	1371
313	626	1369
314	629	1368
315	631	1366
316	632	1363
317	635	1362
318	637	1360
319	638	1357
320	640	1355
321	642	1352
322	644	1350
323	646	1348
324	647	1345
325	650	1344
326	652	1341
327	653	1339
328	655	1337
329	657	1335
330	659	1333
331	661	1331
332	663	1328
333	665	1326
334	667	1324
335	669	1322
336	670	1319
337	672	1317
338	674	1315
339	676	1312
340	678	1310
341	680	1308
342	682	1306
343	683	1304
344	685	1301
345	687	1300
346	689	1298
347	692	1296
348	694	1295
349	696	1293
350	698	1291
351	700	1289
352	702	1288
353	704	1286
354	707	1284
355	708	1282
356	711	1281
357	713	1279
358	715	1277
359	717	1275
360	719	1273
361	721	1271
362	723	1269
363	725	1267
364	727	1265
365	729	1263
366	731	1261
367	733	1259
368	735	1258
369	737	1256
370	739	1254
371	741	1252
372	744	1250
373	746	1248
374	747	1246
375	751	1246
376	753	1245
377	755	1242
378	757	1241
379	759	1239
380	761	1237
381	763	1235
382	766	1234
383	768	1232
384	770	1230
385	772	1229
386	774	1227
387	778	1227
388	780	1225
389	782	1223
390	784	1221
391	786	1220
392	788	1218
393	790	1216
394	792	1214
395	794	1211
396	796	1209
397	798	1207
398	800	1206
399	802	1204
400	804	1202
401	806	1199
402	808	1197
403	810	1195
404	812	1193
405	814	1191
406	816	1189
407	818	1187
